Capital Cost,Cost in Php
Marketing & Branding,20000.00
Market Research,20000.00
Product Developer Training,40000.00
Customer Information System,20000.00
Employee Acquisition,20000.00
Delivery System,20000.00
Communication Systems,20000.00
Inventory & Ordering System,30000.00
Sanitation Program,0.00
Employee Management & Healthcare,10000.00
Employee of the Month & other Bonuses,1000.00
Employee Training Program,30000.00
Rent & Utilities,90000.00
Fishball Ingredients & Packaging,5000.00
Toppings,2500.00
Initial Equipment Cost,100000.00
Total,428500.00
